file,variable,missing_pct,gapfilled_pct,gapfilling_method,tier
met_insituHT_AU-GWW_2013-2024.nc,Rainf,0.0,3.7,ERA-Interim,mild
met_insituHT_AU-GWW_2013-2024.nc,Wind,0.0,4.1,ERA-Interim,mild
met_insituHT_AU-GWW_2013-2024.nc,Qair,0.0,4.1,ERA-Interim,mild
met_insituHT_AU-GWW_2013-2024.nc,RH,0.0,4.1,ERA-Interim,mild
met_insituHT_AU-GWW_2013-2024.nc,CO2air,0.0,11.2,observed,medium
met_insituHT_AU-Gin_2012-2024.nc,Tair,0.0,4.8,ERA-Interim,mild
met_insituHT_AU-Gin_2012-2024.nc,SWdown,0.0,4.5,ERA-Interim,mild
met_insituHT_AU-Gin_2012-2024.nc,LWdown,0.0,4.7,ERA-Interim,mild
met_insituHT_AU-Gin_2012-2024.nc,VPD,0.0,5.1,ERA-Interim,mild
met_insituHT_AU-Gin_2012-2024.nc,PSurf,0.0,6.3,ERA-Interim,mild
met_insituHT_AU-Gin_2012-2024.nc,Rainf,0.0,5.7,ERA-Interim,mild
met_insituHT_AU-Gin_2012-2024.nc,Wind,0.0,4.9,ERA-Interim,mild
met_insituHT_AU-Gin_2012-2024.nc,Qair,0.0,5.1,ERA-Interim,mild
met_insituHT_AU-Gin_2012-2024.nc,RH,0.0,5.2,ERA-Interim,mild
met_insituHT_AU-Gin_2012-2024.nc,CO2air,0.0,23.7,observed,medium
met_insituHT_AU-How_2002-2024.nc,Tair,0.0,11.5,ERA-Interim,medium
met_insituHT_AU-How_2002-2024.nc,SWdown,0.0,2.1,ERA-Interim,mild
met_insituHT_AU-How_2002-2024.nc,LWdown,0.0,4.5,ERA-Interim,mild
met_insituHT_AU-How_2002-2024.nc,VPD,0.0,12.5,ERA-Interim,medium
met_insituHT_AU-How_2002-2024.nc,PSurf,0.0,12.1,ERA-Interim,medium
met_insituHT_AU-How_2002-2024.nc,Rainf,0.0,11.3,ERA-Interim,medium
met_insituHT_AU-How_2002-2024.nc,Wind,0.0,13.7,ERA-Interim,medium
met_insituHT_AU-How_2002-2024.nc,Qair,0.0,12.5,ERA-Interim,medium
met_insituHT_AU-How_2002-2024.nc,RH,0.0,12.3,ERA-Interim,medium
met_insituHT_AU-How_2002-2024.nc,CO2air,0.0,20.5,observed,medium
met_insituHT_AU-Lit_2016-2024.nc,Tair,0.0,14.8,ERA-Interim,medium
met_insituHT_AU-Lit_2016-2024.nc,SWdown,0.0,9.6,ERA-Interim,mild
